fen,side,wdl,dtz
8/8/8/7k/1B6/8/B7/2K5 w - - 0 1,w,2,26
8/8/8/8/5B2/8/8/K5k1 w - - 0 1,w,0,0
8/B7/k7/8/8/8/B7/1K6 w - - 0 1,w,2,28
8/8/3B4/3B4/8/2k5/8/K7 w - - 0 1,w,2,24
B7/8/8/6B1/6k1/8/8/K7 w - - 0 1,w,2,32
8/6k1/8/8/8/8/3B4/1K3B2 w - - 0 1,w,2,28
8/7B/8/8/6k1/B7/8/1K6 w - - 0 1,w,2,26
1B6/8/8/8/8/1B1k4/8/2K5 w - - 0 1,w,2,30
8/8/1k6/1B6/1B6/8/8/2K5 w - - 0 1,w,2,24
8/8/8/8/8/6B1/8/K4B1k w - - 0 1,w,2,18
1B6/1B6/8/8/8/8/8/K3k3 w - - 0 1,w,2,26
8/k7/8/4B3/B7/8/8/1K6 w - - 0 1,w,2,24
2B5/8/8/8/8/5k2/8/2K3B1 w - - 0 1,w,2,30
8/8/6k1/8/8/6BB/8/K7 w - - 0 1,w,2,26
8/8/8/3B4/1k3B2/8/8/2K5 w - - 0 1,w,2,24
8/8/1k2B3/8/8/8/1B6/2K5 w - - 0 1,w,2,26
8/5B2/8/8/3B4/8/3k4/1K6 w - - 0 1,w,2,18
4B3/8/8/4k3/8/8/3B4/K7 w - - 0 1,w,2,34
8/8/k7/8/1B6/8/2B5/2K5 w - - 0 1,w,2,26
1k6/8/8/1B6/1B6/8/8/1K6 w - - 0 1,w,2,20
8/8/k7/8/3B4/5B2/8/K7 w - - 0 1,w,2,22
8/4k3/8/8/B2B4/8/8/1K6 w - - 0 1,w,2,30
8/8/8/6B1/8/8/8/KB3k2 w - - 0 1,w,2,26
8/8/8/8/1B6/3k4/8/2K4B w - - 0 1,w,2,28
4B3/8/8/8/4k3/8/8/2K5 w - - 0 1,w,0,0
8/k7/8/8/8/8/4B3/B1K5 w - - 0 1,w,2,24
3B4/8/6k1/8/8/1B6/8/K7 w - - 0 1,w,2,24
8/8/8/8/B7/B7/8/2K3k1 w - - 0 1,w,2,20
8/8/2k1B3/8/8/6B1/8/K7 w - - 0 1,w,2,26
8/8/6B1/8/8/B7/8/1K2k3 w - - 0 1,w,2,24
8/8/8/3B4/8/6B1/8/2K2k2 w - - 0 1,w,2,16
8/8/8/8/1BB5/4k3/8/2K5 w - - 0 1,w,2,28
8/8/5k2/2B5/4B3/8/8/1K6 w - - 0 1,w,2,30
8/8/8/8/2B2B2/8/6k1/2K5 w - - 0 1,w,2,18
8/8/8/8/8/2B5/4B1k1/K7 w - - 0 1,w,2,22
B7/5k2/8/8/8/8/8/1K6 w - - 0 1,w,0,0
3k4/8/8/8/8/1B6/1B6/K7 w - - 0 1,w,2,28
3B4/5k2/8/8/8/8/8/1K3B2 w - - 0 1,w,2,28
8/1B6/8/B7/8/8/2k5/K7 w - - 0 1,w,2,16
8/8/8/8/6B1/1k6/5B2/2K5 w - - 0 1,w,2,18
8/8/k7/6B1/8/8/B7/1K6 w - - 0 1,w,2,28
7k/8/8/8/8/B7/8/1K3B2 w - - 0 1,w,2,26
5B2/3k4/8/8/8/5B2/8/K7 w - - 0 1,w,2,26
8/1B6/8/8/8/8/8/BK3k2 w - - 0 1,w,2,24
8/8/8/1B4k1/8/8/8/BK6 w - - 0 1,w,2,28
8/8/8/1k6/8/8/1B4B1/2K5 w - - 0 1,w,2,28
8/8/B7/8/4k3/8/3B4/1K6 w - - 0 1,w,2,32
8/6B1/4B3/8/8/5k2/8/1K6 w - - 0 1,w,2,28
k7/8/8/5B2/1B6/8/8/K7 w - - 0 1,w,2,24
8/7k/8/8/5B2/7B/8/1K6 w - - 0 1,w,2,24
8/8/4B3/8/4kB2/8/8/K7 w - - 0 1,w,2,34
