fen,wdl,dtz
8/8/8/8/8/2k5/8/3K4 w - - 0 1,0,
8/8/8/8/8/2k5/8/3K4 b - - 0 1,0,
8/8/8/8/8/3k4/8/3K4 w - - 0 1,0,
8/8/8/8/8/3k4/8/3K4 b - - 0 1,0,
8/8/8/8/8/4k3/8/3K4 w - - 0 1,0,
8/8/8/8/8/4k3/8/3K4 b - - 0 1,0,
8/8/8/8/8/5k2/8/3K4 w - - 0 1,0,
8/8/8/8/8/5k2/8/3K4 b - - 0 1,0,
8/8/8/8/8/6k1/8/3K4 w - - 0 1,0,
8/8/8/8/8/6k1/8/3K4 b - - 0 1,0,
8/8/8/8/8/7k/8/3K4 w - - 0 1,0,
8/8/8/8/8/7k/8/3K4 b - - 0 1,0,
8/8/8/8/k7/8/8/3K4 w - - 0 1,0,
8/8/8/8/k7/8/8/3K4 b - - 0 1,0,
8/8/8/8/1k6/8/8/3K4 w - - 0 1,0,
8/8/8/8/1k6/8/8/3K4 b - - 0 1,0,
8/8/8/8/2k5/8/8/3K4 w - - 0 1,0,
8/8/8/8/2k5/8/8/3K4 b - - 0 1,0,
8/8/8/8/3k4/8/8/3K4 w - - 0 1,0,
8/8/8/8/3k4/8/8/3K4 b - - 0 1,0,
8/8/8/8/4k3/8/8/3K4 w - - 0 1,0,
8/8/8/8/4k3/8/8/3K4 b - - 0 1,0,
8/8/8/8/5k2/8/8/3K4 w - - 0 1,0,
8/8/8/8/5k2/8/8/3K4 b - - 0 1,0,
8/8/8/8/6k1/8/8/3K4 w - - 0 1,0,
8/8/8/8/6k1/8/8/3K4 b - - 0 1,0,
8/8/8/8/7k/8/8/3K4 w - - 0 1,0,
8/8/8/8/7k/8/8/3K4 b - - 0 1,0,
8/8/8/k7/8/8/8/3K4 w - - 0 1,0,
8/8/8/k7/8/8/8/3K4 b - - 0 1,0,
8/8/8/1k6/8/8/8/3K4 w - - 0 1,0,
8/8/8/1k6/8/8/8/3K4 b - - 0 1,0,
8/8/8/2k5/8/8/8/3K4 w - - 0 1,0,
8/8/8/2k5/8/8/8/3K4 b - - 0 1,0,
8/8/8/3k4/8/8/8/3K4 w - - 0 1,0,
8/8/8/3k4/8/8/8/3K4 b - - 0 1,0,
8/8/8/4k3/8/8/8/3K4 w - - 0 1,0,
8/8/8/4k3/8/8/8/3K4 b - - 0 1,0,
8/8/8/5k2/8/8/8/3K4 w - - 0 1,0,
8/8/8/5k2/8/8/8/3K4 b - - 0 1,0,
8/8/8/6k1/8/8/8/3K4 w - - 0 1,0,
8/8/8/6k1/8/8/8/3K4 b - - 0 1,0,
8/8/8/7k/8/8/8/3K4 w - - 0 1,0,
8/8/8/7k/8/8/8/3K4 b - - 0 1,0,
8/8/k7/8/8/8/8/3K4 w - - 0 1,0,
8/8/k7/8/8/8/8/3K4 b - - 0 1,0,
8/8/1k6/8/8/8/8/3K4 w - - 0 1,0,
8/8/1k6/8/8/8/8/3K4 b - - 0 1,0,
8/8/2k5/8/8/8/8/3K4 w - - 0 1,0,
8/8/2k5/8/8/8/8/3K4 b - - 0 1,0,
8/8/3k4/8/8/8/8/3K4 w - - 0 1,0,
8/8/3k4/8/8/8/8/3K4 b - - 0 1,0,
8/8/4k3/8/8/8/8/3K4 w - - 0 1,0,
8/8/4k3/8/8/8/8/3K4 b - - 0 1,0,
8/8/5k2/8/8/8/8/3K4 w - - 0 1,0,
8/8/5k2/8/8/8/8/3K4 b - - 0 1,0,
8/8/6k1/8/8/8/8/3K4 w - - 0 1,0,
8/8/6k1/8/8/8/8/3K4 b - - 0 1,0,
8/8/7k/8/8/8/8/3K4 w - - 0 1,0,
8/8/7k/8/8/8/8/3K4 b - - 0 1,0,
8/k7/8/8/8/8/8/3K4 w - - 0 1,0,
8/k7/8/8/8/8/8/3K4 b - - 0 1,0,
8/1k6/8/8/8/8/8/3K4 w - - 0 1,0,
8/1k6/8/8/8/8/8/3K4 b - - 0 1,0,
8/2k5/8/8/8/8/8/3K4 w - - 0 1,0,
8/2k5/8/8/8/8/8/3K4 b - - 0 1,0,
8/3k4/8/8/8/8/8/3K4 w - - 0 1,0,
8/3k4/8/8/8/8/8/3K4 b - - 0 1,0,
8/4k3/8/8/8/8/8/3K4 w - - 0 1,0,
